type,x,y,geom
Other Theft,388373,5512579,0101000020E6100000BE1908392F235FC0B2301E4DAEE04840
Other Theft,441008,5462300,0101000020E6100000ED77D835F1F35EC0AA736D4FC1A74840
Other Theft,484162,5462300,0101000020E610000021A7BC2BF2CD5EC03CCF2FF617A84840
Other Theft,484162,5462300,0101000020E610000021A7BC2BF2CD5EC03CCF2FF617A84840
Other Theft,484328,5462300,0101000020E6100000309971C0CCCD5EC0EAD11E1A18A84840
Other Theft,484328,5462300,0101000020E6100000309971C0CCCD5EC0EAD11E1A18A84840
Other Theft,484328,5462300,0101000020E6100000309971C0CCCD5EC0EAD11E1A18A84840
Other Theft,484331,5462300,0101000020E610000078EF5213CCCD5EC0EF2CC41A18A84840
Other Theft,484351,5462300,0101000020E61000006F2D3191C7CD5EC0A3BC111F18A84840
Other Theft,484359,5462186,0101000020E6100000EFCECDB0C5CD5EC0B74ECC86F6A74840
Other Theft,484359,5462184,0101000020E610000071AA79B0C5CD5EC019CDE2EFF5A74840
Other Theft,484359,5462184,0101000020E610000071AA79B0C5CD5EC019CDE2EFF5A74840
Other Theft,484438,5462183,0101000020E6100000A53796E1B3CD5EC0F8135DB5F5A74840
Other Theft,484445,5462183,0101000020E6100000B830A64DB2CD5EC0CD22DCB6F5A74840
Other Theft,484445,5462183,0101000020E6100000B830A64DB2CD5EC0CD22DCB6F5A74840
Other Theft,484568,5462183,0101000020E61000003643E39396CD5EC028E40AD1F5A74840
Other Theft,484571,5462167,0101000020E6100000E7832DE495CD5EC03098611AF1A74840
Other Theft,484584,5462167,0101000020E6100000218F02F692CD5EC010C4221DF1A74840
Other Theft,484603,5462167,0101000020E6100000DB629CAD8ECD5EC0EF542821F1A74840
Other Theft,484607,5462143,0101000020E6100000A78EE8C28DCD5EC07AB80E0FEAA74840
Other Theft,484607,5462143,0101000020E6100000A78EE8C28DCD5EC07AB80E0FEAA74840
Other Theft,484607,5462143,0101000020E6100000A78EE8C28DCD5EC07AB80E0FEAA74840
Other Theft,484610,5462143,0101000020E6100000CB24CB158DCD5EC0C61FB10FEAA74840
Other Theft,484610,5462071,0101000020E6100000BEBC260A8DCD5EC0616ADAD6D4A74840
Other Theft,484610,5462071,0101000020E6100000BEBC260A8DCD5EC0616ADAD6D4A74840
Other Theft,484610,5462071,0101000020E6100000BEBC260A8DCD5EC0616ADAD6D4A74840
Other Theft,484610,5462071,0101000020E6100000BEBC260A8DCD5EC0616ADAD6D4A74840
Other Theft,484610,5462071,0101000020E6100000BEBC260A8DCD5EC0616ADAD6D4A74840
Other Theft,484610,5462071,0101000020E6100000BEBC260A8DCD5EC0616ADAD6D4A74840
Other Theft,484610,5462071,0101000020E6100000BEBC260A8DCD5EC0616ADAD6D4A74840
Other Theft,484610,5462071,0101000020E6100000BEBC260A8DCD5EC0616ADAD6D4A74840
Other Theft,484610,5462071,0101000020E6100000BEBC260A8DCD5EC0616ADAD6D4A74840
Other Theft,484611,5462071,0101000020E6100000AF7572D08CCD5EC0B28A10D7D4A74840
Other Theft,484613,5462071,0101000020E61000008FE7095D8CCD5EC0A2C87CD7D4A74840
Other Theft,484613,5462071,0101000020E61000008FE7095D8CCD5EC0A2C87CD7D4A74840
Other Theft,484624,5462071,0101000020E610000078D94AE289CD5EC0EBDCCFD9D4A74840
Other Theft,484624,5462071,0101000020E610000078D94AE289CD5EC0EBDCCFD9D4A74840
Other Theft,484624,5462071,0101000020E610000078D94AE289CD5EC0EBDCCFD9D4A74840
Other Theft,484624,5462071,0101000020E610000078D94AE289CD5EC0EBDCCFD9D4A74840
Other Theft,484624,5462071,0101000020E610000078D94AE289CD5EC0EBDCCFD9D4A74840
Other Theft,484624,5462071,0101000020E610000078D94AE289CD5EC0EBDCCFD9D4A74840
Other Theft,484624,5462071,0101000020E610000078D94AE289CD5EC0EBDCCFD9D4A74840
Other Theft,484624,5461987,0101000020E6100000C301B9D489CD5EC05DD17F17BCA74840
Other Theft,484624,5461841,0101000020E6100000EF7B23BD89CD5EC036FEE70E91A74840
Other Theft,484624,5461635,0101000020E61000003089DD9B89CD5EC07F1DF15654A74840
Other Theft,484626,5461591,0101000020E6100000CC4E5C2189CD5EC0D6254B5F47A74840
Other Theft,484626,5461560,0101000020E610000055C05A1C89CD5EC0E115273C3EA74840
Other Theft,484626,5461560,0101000020E610000055C05A1C89CD5EC0E115273C3EA74840
Other Theft,484626,5461149,0101000020E6100000A6AAFDD988CD5EC0C750A917C5A64840
Other Theft,484626,5461149,0101000020E6100000A6AAFDD988CD5EC0C750A917C5A64840
Other Theft,484626,5461120,0101000020E6100000150E4FD588CD5EC01F6B6E8BBCA64840
Other Theft,484626,5460966,0101000020E6100000074E72BC88CD5EC07B662C278FA64840
Other Theft,484626,5460966,0101000020E6100000074E72BC88CD5EC07B662C278FA64840
Other Theft,484626,5460873,0101000020E6100000D2E46EAD88CD5EC0C95DBEBD73A64840
Other Theft,484626,5460811,0101000020E61000000BB86CA388CD5EC06BDD747761A64840
Other Theft,484626,5460802,0101000020E610000002CCF8A188CD5EC068AB59D05EA64840
Other Theft,484626,5460737,0101000020E610000035BE7A9788CD5EC055A1B1A74BA64840
Other Theft,484626,5460726,0101000020E61000004C30B49588CD5EC097CFAC6948A64840
Other Theft,484626,5460584,0101000020E61000007D87C87E88CD5EC0F9A1E28E1EA64840
Other Theft,484626,5460571,0101000020E6100000B35EAF7C88CD5EC03726F4B91AA64840
Other Theft,484626,5460571,0101000020E6100000B35EAF7C88CD5EC03726F4B91AA64840
Other Theft,484626,5460543,0101000020E61000005A6C2A7888CD5EC05E8D2D7912A64840
Other Theft,484626,5460543,0101000020E61000005A6C2A7888CD5EC05E8D2D7912A64840
Other Theft,484626,5460536,0101000020E61000006930097788CD5EC034E6FB6810A64840
Other Theft,484626,5460536,0101000020E61000006930097788CD5EC034E6FB6810A64840
Other Theft,484626,5460515,0101000020E6100000237EA57388CD5EC070EE66380AA64840
Other Theft,484626,5460511,0101000020E6100000E037007388CD5EC0ABB2930A09A64840
Other Theft,484626,5460475,0101000020E61000004DC3306D88CD5EC02493266EFEA54840
Other Theft,484626,5460453,0101000020E61000008BC6A36988CD5EC00CC21CF2F7A54840
Other Theft,484626,5460366,0101000020E6100000D23D995B88CD5EC039286A4DDEA54840
Other Theft,484626,5460364,0101000020E6100000429C465B88CD5EC00C8880B6DDA54840
